PathwayName,Expression,Number of Genes
TNFs bind their physiological receptors,1.1694633236404786,28
Nef and signal transduction,1.1677889545112907,8
Hyaluronan biosynthesis and export,1.1663502136042028,5
Signaling by PDGF,1.1632111055748908,58
Nephron development,1.1617757611835424,13
Basigin interactions,1.1603239126536091,25
Acyl chain remodelling of PG,1.1602010790351804,18
MyD88 deficiency (TLR2/4),1.1584975872940442,17
GPVI-mediated activation cascade,1.1572349022392039,35
EGR2 and SOX10-mediated initiation of Schwann cell myelination,1.1559834460103742,29
Respiratory syncytial virus (RSV) attachment and entry,1.151531636312325,23
Diseases associated with visual transduction,1.1509979597550737,13
Diseases of the neuronal system,1.1509979597550737,13
Regulation of CDH19 Expression and Function,1.1506016084947917,7
Signaling by FGFR in disease,1.1501730374574624,63
Retinoid cycle disease events,1.1492411500749316,13
Endosomal/Vacuolar pathway,1.148448330062349,11
PTK6 Expression,1.140540138507626,5
RHO GTPases Activate NADPH Oxidases,1.1396293946601814,24
Keratan sulfate biosynthesis,1.1387680719706268,28
MHC class II antigen presentation,1.1384176528444412,123
Fibronectin matrix formation,1.1380559193360633,6
Activation of the TFAP2 (AP-2) family of transcription factors,1.1369423539524321,12
Sphingolipid catabolism,1.1368488620430122,12
Biosynthesis of EPA-derived SPMs,1.1321952989812574,6
Advanced glycosylation endproduct receptor signaling,1.1317630992504195,13
EGFR interacts with phospholipase C-gamma,1.1285792900060396,9
Attachment and Entry,1.1282317157699848,19
PECAM1 interactions,1.1268015164838956,12
IL-6-type cytokine receptor ligand interactions,1.1266267590589625,17
Interleukin-18 signaling,1.126518346949361,8
cGMP effects,1.1263292484547154,16
TP53 Regulates Transcription of Death Receptors and Ligands,1.1234577979678617,12
TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,1.1220239015144708,17
"Defective EXT1 causes exostoses 1, TRPS2 and CHDS",1.120536796011376,14
Negative regulation of TCF-dependent signaling by WNT ligand antagonists,1.1187684659568522,15
LTC4-CYSLTR mediated IL4 production,1.1184005648810271,6
Acyl chain remodelling of PC,1.1179263950401848,27
Diseases associated with glycosaminoglycan metabolism,1.1171761407681067,41
Keratan sulfate/keratin metabolism,1.1165912635906914,36
Cell recruitment (pro-inflammatory response),1.1163491122724027,26
Purinergic signaling in leishmaniasis infection,1.1163491122724025,26
"Defective CHST14 causes EDS, musculocontractural type",1.1155917708175733,8
Defective EXT2 causes exostoses 2,1.1131764944185578,14
Transcriptional regulation of testis differentiation,1.1126141668281717,13
Ca2+ activated K+ channels,1.1123234668769304,9
Co-inhibition by BTLA,1.1115137880832535,5
HS-GAG degradation,1.1113152385380447,24
"Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants",1.109204619352167,12
Axonal growth inhibition (RHOA activation),1.1086591439729172,9
Biosynthesis of Lipoxins (LX),1.1078673573440716,6
RUNX2 regulates genes involved in cell migration,1.106990454880265,8
Synthesis of Prostaglandins (PG) and Thromboxanes (TX),1.1059883786294946,15
Regulation of MITF-M-dependent genes involved in apoptosis,1.102515690533121,19
NCAM signaling for neurite out-growth,1.1019355208788921,63
Biosynthesis of E-series 18(S)-resolvins,1.100177077974912,5
Creatine metabolism,1.0974898579815795,11
Interferon gamma signaling,1.09722420050534,96
Metabolism of carbohydrates,1.0955696008090534,288
Synthesis of 15-eicosatetraenoic acid derivatives,1.0938510052696135,6
FLT3 signaling through SRC family kinases,1.0920616590929566,6
Early SARS-CoV-2 Infection Events,1.0908804965033363,37
Keratan sulfate degradation,1.0890077247228096,15
Apoptotic cleavage of cellular proteins,1.0886503938609908,38
Defective CHST3 causes SEDCJD,1.0861890075512737,8
Lysosphingolipid and LPA receptors,1.0841153504268377,14
p75NTR regulates axonogenesis,1.0823135094602838,10
Regulation of MITF-M-dependent genes involved in pigmentation,1.0794179245047473,42
Cargo concentration in the ER,1.0785044349311446,33
Leukotriene receptors,1.0724055481477983,5
Neurofascin interactions,1.0722009290545023,7
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,1.0716165608174575,18
Retinoid metabolism and transport,1.0714501765085587,44
Acetylcholine inhibits contraction of outer hair cells,1.0711168161077758,5
P2Y receptors,1.0678940870635762,12
Nitric oxide stimulates guanylate cyclase,1.0639509682855919,22
MITF-M-dependent gene expression,1.0631088462945864,110
Adenylate cyclase activating pathway,1.0618375299580245,10
Gap junction assembly,1.0591567021562773,38
RUNX1 regulates transcription of genes involved in differentiation of myeloid cells,1.058924243988747,7
Physiological factors,1.0589113257266143,14
Transport of RCbl within the body,1.0586885178563306,8
Metabolism of fat-soluble vitamins,1.058249053451854,48
Proton-coupled monocarboxylate transport,1.057853819463134,6
Regulated proteolysis of p75NTR,1.0575533675507698,11
The canonical retinoid cycle in rods (twilight vision),1.0561183385139683,22
Regulation of T cell activation by CD28 family,1.0550847590593375,76
CD163 mediating an anti-inflammatory response,1.0542583626971938,9
Negative regulation of activity of TFAP2 (AP-2) family transcription factors,1.0536947556562763,10
"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation",1.0533280361840751,10
Regulation of MITF-M-dependent genes involved in cell cycle and proliferation,1.0525639836061766,18
Formation of the nephric duct,1.0524123975836017,18
Signaling by SCF-KIT,1.0431050393208514,43
RUNX1 regulates transcription of genes involved in BCR signaling,1.0430639644815816,6
N-glycan trimming and elongation in the cis-Golgi,1.0422539534399453,5
YAP1- and WWTR1 (TAZ)-stimulated gene expression,1.0421044202233654,15
HDL remodeling,1.037512298948148,10
Defective B3GALT6 causes EDSP2 and SEMDJL1,1.0366084617205182,20
Nucleotide-like (purinergic) receptors,1.0359367500302281,15
Interleukin-15 signaling,1.0354161409387124,14
Platelet Aggregation (Plug Formation),1.034841007143816,39
Modulation of host responses by IFN-stimulated genes,1.033630059510482,19
Hemostasis,1.030966733146732,677
Activated point mutants of FGFR2,1.0306356866115098,17
TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,1.028106653351821,15
Transport of connexons to the plasma membrane,1.0259056096744559,21
RUNX3 regulates YAP1-mediated transcription,1.024433709928785,8
Co-stimulation by ICOS,1.0236498659252151,11
Formation of definitive endoderm,1.0226051254614392,17
Linoleic acid (LA) metabolism,1.0218317037216276,8
Gastrin-CREB signalling pathway via PKC and MAPK,1.021624662198103,18
Sulfide oxidation to sulfate,1.0199242713924297,6
Signaling by EGFR in Cancer,1.0184687134908679,25
GRB2 events in EGFR signaling,1.0180538779056365,13
Post-translational modification: synthesis of GPI-anchored proteins,1.0175005005780515,93
Defective ST3GAL3 causes MCT12 and EIEE15,1.01665352211161,8
Regulation of CDH11 function,1.0149555243899606,11
MITF-M-regulated melanocyte development,1.0145805495453877,161
DAP12 interactions,1.0142698991725707,39
Specification of primordial germ cells,1.0126895117758723,12
FasL/ CD95L signaling,1.0122529029119742,5
Mechanical load activates signaling by PIEZO1 and integrins in osteocytes,1.0085631421555143,17
NGF-stimulated transcription,1.0085572233785514,39
Regulation of commissural axon pathfinding by SLIT and ROBO,1.006350887636183,10
O-glycosylation of TSR domain-containing proteins,1.006237398353013,39
MET activates PTPN11,1.0047142255420018,5
TRAIL  signaling,1.0042475155574189,8
Defective B3GALTL causes PpS,1.0042103533341873,38
Interleukin-35 Signalling,1.0041426924656593,12
LGI-ADAM interactions,1.002815128928429,14
Eicosanoid ligand-binding receptors,1.0026881329361508,15
RUNX3 regulates p14-ARF,1.0020055798021517,10
NOTCH3 Intracellular Domain Regulates Transcription,1.001578674945539,25
VEGF binds to VEGFR leading to receptor dimerization,1.0012776557392435,8
VEGF ligand-receptor interactions,1.0012776557392435,8
Activation of RAS in B cells,1.0009260020731814,5
FGFR2 mutant receptor activation,1.0008890705452462,33
Prednisone ADME,1.0000628575031822,9
Dectin-2 family,0.998464456938796,26
CLEC7A/inflammasome pathway,0.998034632036336,6
Reversible hydration of carbon dioxide,0.9978663543604649,12
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.9973670991081387,124
Signaling by PDGFR in disease,0.99718447727901,20
Signaling by Ligand-Responsive EGFR Variants in Cancer,0.9960421924992845,19
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,0.9960421924992845,19
DAP12 signaling,0.9958172116586402,29
ERBB2 Activates PTK6 Signaling,0.9951497454119783,13
Inflammasomes,0.9947826454188423,21
OAS antiviral response,0.9925180059147144,9
Signaling by Retinoic Acid,0.9921526212493486,41
Formation of intermediate mesoderm,0.9919874360663863,8
Diseases associated with surfactant metabolism,0.9908884839767553,10
Interleukin-2 signaling,0.9868445504303652,12
Immune System,0.9866051305228929,2102
Binding of TCF/LEF:CTNNB1 to target gene promoters,0.9850185387668073,8
Other interleukin signaling,0.9847692468929075,24
MET activates PI3K/AKT signaling,0.9812996888898797,6
Trafficking and processing of endosomal TLR,0.9804205697508369,13
RUNX3 regulates WNT signaling,0.9794702529974878,8
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,0.9794159244751203,38
Apoptotic execution phase,0.9780520932727811,52
Glycosphingolipid biosynthesis,0.9780495174227664,19
ALK mutants bind TKIs,0.9780298694501703,12
Interleukin-2 family signaling,0.9772822857194164,44
Dissolution of Fibrin Clot,0.9771312569116177,13
Glutathione synthesis and recycling,0.9763780837999454,12
SHC1 events in EGFR signaling,0.9759267152605535,14
Adrenoceptors,0.9757441335055734,9
Defective CSF2RB causes SMDP5,0.9748286544684448,8
"Metabolism of ingested SeMet, Sec, MeSec into H2Se",0.973924571692349,8
Cell junction organization,0.9731453099348237,117
Interleukin-6 family signaling,0.9718919653474452,24
Signaling by LRP5 mutants ,0.9685005101134266,6
Signaling by FGFR2 in disease,0.9684092580752983,43
Interleukin-27 signaling,0.9682523433072364,11
Chylomicron clearance,0.9661023794255027,5
Gap junction trafficking,0.9658756311098465,49
Ionotropic activity of kainate receptors,0.9654521711476052,10
RA biosynthesis pathway,0.9652582833197789,22
PTK6 Regulates Cell Cycle,0.9638466668675167,6
Arachidonate metabolism,0.9625824903807229,59
COPII-mediated vesicle transport,0.9613238168733748,69
FGFR3b ligand binding and activation,0.9603212444726397,7
Signaling by ALK,0.960241492944289,30
Prostanoid ligand receptors,0.9596523677851568,9
CRMPs in Sema3A signaling,0.958784283038221,16
GRB7 events in ERBB2 signaling,0.9558684543146463,5
EPH-ephrin mediated repulsion of cells,0.955763824270432,51
Gap junction trafficking and regulation,0.9557442936471131,51
Post-translational protein phosphorylation,0.9548882714092329,107
Cardiogenesis,0.9535200089898852,27
Interleukin-21 signaling,0.9532179513264937,10
G alpha (z) signalling events,0.9513541434218987,48
Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,0.9504502549954845,17
Signal regulatory protein family interactions,0.9497851475735369,16
Transcriptional and post-translational regulation of MITF-M expression and activity,0.9497002798444567,62
Erythropoietin activates Phosphoinositide-3-kinase (PI3K),0.9496086855200659,12
Activation of Ca-permeable Kainate Receptor,0.949582670905307,10
Activation of PPARGC1A (PGC-1alpha) by phosphorylation,0.949162233662172,10
Presynaptic function of Kainate receptors,0.9484292231041802,21
The role of Nef in HIV-1 replication and disease pathogenesis,0.9477408927639122,28
Constitutive Signaling by Aberrant PI3K in Cancer,0.9463230542769808,86
DARPP-32 events,0.9444631752648773,24
Regulation of CDH11 gene transcription,0.9432825198852772,10
NOTCH2 intracellular domain regulates transcription,0.9425653439291188,12
"Platelet activation, signaling and aggregation",0.9419348811349063,261
EPHA-mediated growth cone collapse,0.9379371869835809,29
Signaling by Receptor Tyrosine Kinases,0.9358857592073515,532
Diseases of mitotic cell cycle,0.9358690423873377,38
G beta:gamma signalling through BTK,0.9333104071766241,18
GAB1 signalosome,0.9323114292634116,17
Infectious disease,0.9321830722957783,1063
Aberrant regulation of mitotic cell cycle due to RB1 defects,0.93148457450314,36
Toxicity of botulinum toxin type D (botD),0.9312160595092815,5
Toxicity of botulinum toxin type F (botF),0.9312160595092815,5
Drug-mediated inhibition of CDK4/CDK6 activity,0.9307334760052577,5
Cell-Cell communication,0.9291678512236146,155
Platelet degranulation ,0.9289346058617411,127
Response to elevated platelet cytosolic Ca2+,0.9282839289867669,132
Glutathione conjugation,0.9275617273506642,34
FGFR3 ligand binding and activation,0.9272094393229737,13
Developmental Biology,0.9265708117512681,1457
PI3K events in ERBB4 signaling,0.9265219417546017,10
SARS-CoV Infections,0.9262503842219086,471
Scavenging by Class B Receptors,0.9261192103684983,6
STAT3 nuclear events downstream of ALK signaling,0.924550837210895,11
Activation of kainate receptors upon glutamate binding,0.9225390147746493,30
Induction of Cell-Cell Fusion,0.9215084514806132,13
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,0.9208706400270039,21
Signaling by FGFR4 in disease,0.9203705206900262,11
Innate Immune System,0.9202341446470295,1106
Adherens junctions interactions,0.9193597334927239,58
FGFR1b ligand binding and activation,0.9180219912764015,8
Thrombin signalling through proteinase activated receptors (PARs),0.9172684699398341,32
Tie2 Signaling,0.9165531678458895,18
Role of ABL in ROBO-SLIT signaling,0.9155184631653351,8
Formation of the dystrophin-glycoprotein complex (DGC),0.9154724788118795,36
FGFR2 ligand binding and activation,0.915384570519731,20
Signaling by activated point mutants of FGFR1,0.915345950628128,11
APOBEC3G mediated resistance to HIV-1 infection,0.9149872142612457,5
Acetylcholine regulates insulin secretion,0.9138687080953133,10
Nuclear events stimulated by ALK signaling in cancer,0.9130552270519009,34
Synthesis of 5-eicosatetraenoic acids,0.9124926127046612,9
Maturation of protein 3a,0.9124215047031677,9
Erythrocytes take up oxygen and release carbon dioxide,0.9111255620036076,9
RUNX3 regulates CDKN1A transcription,0.9095075574441458,7
ABC transporters in lipid homeostasis,0.9094331624099184,18
VEGFR2 mediated cell proliferation,0.9069953039446143,19
Interleukin receptor SHC signaling,0.9054515932163676,27
Regulation of IFNG signaling,0.9052316859629991,14
"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",0.9048243257242882,10
Signal transduction by L1,0.9042678079298083,21
Defective CSF2RA causes SMDP4,0.9039064629233017,8
Nicotinate metabolism,0.903642611019977,31
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",0.9034244104746755,13
Cytosolic sulfonation of small molecules,0.9030966544834562,24
RUNX1 regulates transcription of genes involved in interleukin signaling,0.9030833750944556,5
NFE2L2 regulating tumorigenic genes,0.902443736090412,11
Regulation of localization of FOXO transcription factors,0.9024241360013272,12
Receptor-type tyrosine-protein phosphatases,0.901491349610374,20
Ion homeostasis,0.9002538355695233,54
Erythrocytes take up carbon dioxide and release oxygen,0.9002266835318681,13
O2/CO2 exchange in erythrocytes,0.9002266835318681,13
CD28 dependent Vav1 pathway,0.9001073166408907,12
TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,0.8999532179823475,14
G alpha (12/13) signalling events,0.8997792950804515,80
Butyrophilin (BTN) family interactions,0.8995898133168962,12
Pyroptosis,0.8992770372007155,27
Synthesis of very long-chain fatty acyl-CoAs,0.8992377747878952,24
Chylomicron remodeling,0.8988954849352169,10
Cell-cell junction organization,0.8982498611613414,90
Free fatty acids regulate insulin secretion,0.8982103814914726,11
Aspartate and asparagine metabolism,0.898169182219894,11
Semaphorin interactions,0.8981269355196857,64
Dimerization of procaspase-8,0.8974614472753663,11
Diseases of glycosylation,0.8973346189092962,143
G beta:gamma signalling through PLC beta,0.8967911209508759,20
Thromboxane signalling through TP receptor,0.8964726748212967,24
Neutrophil degranulation,0.8963305782719555,477
Nuclear Events (kinase and transcription factor activation),0.8963050866926652,61
Diseases of signal transduction by growth factor receptors and second messengers,0.896288539519077,453
Phase 1 - inactivation of fast Na+ channels,0.8941796196004311,7
The NLRP3 inflammasome,0.8933533541522408,16
Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET),0.8930731137356083,8
Signaling by Interleukins,0.8930426731581597,458
NrCAM interactions,0.892567975957953,7
"Adrenaline,noradrenaline inhibits insulin secretion",0.8923459132237761,28
Defective homologous recombination repair (HRR) due to BRCA2 loss of function,0.8921350303446725,41
Ion transport by P-type ATPases,0.8919590139368045,55
Activated NTRK2 signals through CDK5,0.8919556551032369,6
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",0.8919328365656026,29
TP53 Regulates Transcription of Cell Death Genes,0.8917925331949511,44
Regulation of Homotypic Cell-Cell Adhesion,0.8917845520095801,32
Regulation of Expression and Function of Type II Classical Cadherins,0.8917845520095801,32
Nervous system development,0.8914519474728979,562
RAC2 GTPase cycle,0.8909930187615859,88
Serine biosynthesis,0.8904422516304581,9
PI3K events in ERBB2 signaling,0.8898224187103927,16
ChREBP activates metabolic gene expression,0.8897590008444526,8
Interleukin-37 signaling,0.8894547356135044,21
Signaling by FLT3 ITD and TKD mutants,0.8882206710257985,16
Degradation of cysteine and homocysteine,0.8878093693234037,15
SARS-CoV-2 targets PDZ proteins in cell-cell junction,0.8871429193033108,5
Rap1 signalling,0.8862694716005685,16
Zinc efflux and compartmentalization by the SLC30 family,0.8852772843633439,5
Activation of SMO,0.8852599756324566,18
Cytokine Signaling in Immune system,0.8852244627748754,780
Aflatoxin activation and detoxification,0.884932141561577,18
Adenylate cyclase inhibitory pathway,0.8846406823076701,14
Ca2+ pathway,0.884009833502823,62
Ficolins bind to repetitive carbohydrate structures on the target cell surface,0.8838568832098977,5
Tryptophan catabolism,0.8835018660443641,14
Transferrin endocytosis and recycling,0.8833277463517729,31
RET signaling,0.8832675487113788,40
L1CAM interactions,0.8832609641022643,121
Phenylalanine metabolism,0.8828507036222863,6
Repression of WNT target genes,0.8807100604404365,14
Synthesis of pyrophosphates in the cytosol,0.8800864748736683,10
Transcriptional regulation of pluripotent stem cells,0.8799059539174009,31
WNT ligand biogenesis and trafficking,0.8791018431592716,26
G2 Phase,0.8786382634473501,5
EPH-Ephrin signaling,0.878590165676872,92
PKA activation,0.8783091015914813,18
Axon guidance,0.8777777432519769,536
Common Pathway of Fibrin Clot Formation,0.877713286563416,22
RND3 GTPase cycle,0.8770428356592138,42
Opioid Signalling,0.8766717525445197,90
NRAGE signals death through JNK,0.8765116861736929,59
Neurotoxicity of clostridium toxins,0.8755816054277257,10
Miscellaneous transport and binding events,0.8754777921014476,26
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",0.8751477643591736,114
Defective GALNT3 causes HFTC,0.875081613654762,16
ADP signalling through P2Y purinoceptor 1,0.8748920067677067,25
Synthesis of PA,0.8744110887944366,39
Signaling by ALK in cancer,0.8743591596247255,92
PTK6 Regulates Proteins Involved in RNA Processing,0.874174404782723,5
Visual phototransduction,0.8739328079828708,99
Sodium/Proton exchangers,0.8730534079659703,9
Peptide ligand-binding receptors,0.8728890665773449,196
ROBO receptors bind AKAP5,0.8727322338432341,9
"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)",0.872172343026114,17
SLC15A4:TASL-dependent IRF5 activation,0.8708223346643446,6
Ephrin signaling,0.8698562631803259,19
Detoxification of Reactive Oxygen Species,0.8697516740852914,36
Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion,0.8697122571531309,8
Signal amplification,0.8695888267819819,33
RAC1 GTPase cycle,0.8691704612808374,184
Metal ion SLC transporters,0.8687724947402587,24
TGFBR3 regulates TGF-beta signaling,0.8685535233145029,8
Metabolism of vitamins and cofactors,0.8681745193323332,198
The activation of arylsulfatases,0.8680449305855698,13
Gastrulation,0.8674820528153685,119
G beta:gamma signalling through CDC42,0.8673325708844971,20
SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion,0.8673003114948525,14
Signaling by BMP,0.8649645745383561,31
Diseases associated with the TLR signaling cascade,0.8635755322903456,32
Diseases of Immune System,0.8635755322903456,32
Caspase activation via Death Receptors in the presence of ligand,0.8635742296552471,16
Attachment of GPI anchor to uPAR,0.8629611299296122,7
Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex,0.8626130465187579,13
Vesicle-mediated transport,0.8622179438744645,725
Neurodegenerative Diseases,0.8619378261631436,21
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,0.8619378261631436,21
Regulation of HMOX1 expression and activity,0.8613878079642525,5
SUMOylation of transcription factors,0.8612726597191662,20
STAT5 activation downstream of FLT3 ITD mutants,0.8611648601591579,10
Erythropoietin activates Phospholipase C gamma (PLCG),0.8608758057110574,7
Muscarinic acetylcholine receptors,0.8594087093970294,5
CASP8 activity is inhibited,0.8588254647186397,11
Activation of NOXA and translocation to mitochondria,0.8582628685028042,5
Negative regulation of the PI3K/AKT network,0.8576917848981883,121
